ClientIP 127.0.0.1 :30060,Response {"Data":null,"Message":"PLC未连接","ResultType":1,"Success":false},at 2023/1/4 9:45:12 , IPlcServer.GetPlcDeivceStatus is called , duration: 0 

ClientIP 127.0.0.1 :30060,Response {"Data":null,"Message":"PLC未连接","ResultType":1,"Success":false},at 2023/1/4 9:45:12 , IPlcServer.GetAlarmInformation is called , duration: 0 

ClientIP 127.0.0.1 :30060,Response {"Data":null,"Message":"PLC未连接","ResultType":1,"Success":false},at 2023/1/4 9:45:15 , IPlcServer.GetPlcDeivceStatus is called , duration: 0 

ClientIP 127.0.0.1 :30060,Response {"Data":null,"Message":"PLC未连接","ResultType":1,"Success":false},at 2023/1/4 9:45:15 , IPlcServer.GetAlarmInformation is called , duration: 0 

ClientIP 127.0.0.1 :30060,Response {"Data":null,"Message":"PLC未连接","ResultType":1,"Success":false},at 2023/1/4 9:45:18 , IPlcServer.GetPlcDeivceStatus is called , duration: 1.0223 

ClientIP 127.0.0.1 :30060,Response {"Data":null,"Message":"PLC未连接","ResultType":1,"Success":false},at 2023/1/4 9:45:18 , IPlcServer.GetAlarmInformation is called , duration: 1.0137 

ClientIP 127.0.0.1 :30060,Response {"Data":null,"Message":"PLC未连接","ResultType":1,"Success":false},at 2023/1/4 9:45:21 , IPlcServer.GetPlcDeivceStatus is called , duration: 0 

ClientIP 127.0.0.1 :30060,Response {"Data":null,"Message":"PLC未连接","ResultType":1,"Success":false},at 2023/1/4 9:45:21 , IPlcServer.GetAlarmInformation is called , duration: 0 

ClientIP 127.0.0.1 :30060,Response {"Data":null,"Message":"PLC未连接","ResultType":1,"Success":false},at 2023/1/4 9:45:24 , IPlcServer.GetPlcDeivceStatus is called , duration: 0 

ClientIP 127.0.0.1 :30060,Response {"Data":null,"Message":"PLC未连接","ResultType":1,"Success":false},at 2023/1/4 9:45:24 , IPlcServer.GetAlarmInformation is called , duration: 0 

ClientIP 127.0.0.1 :30060,Response {"Data":null,"Message":"PLC未连接","ResultType":1,"Success":false},at 2023/1/4 9:45:27 , IPlcServer.GetPlcDeivceStatus is called , duration: 0 

ClientIP 127.0.0.1 :30060,Response {"Data":null,"Message":"PLC未连接","ResultType":1,"Success":false},at 2023/1/4 9:45:27 , IPlcServer.GetAlarmInformation is called , duration: 0 

